,date,symbol,open,close,low,high,volume,change,,BUY,SELL,vol/meanVal,SUM BUY,SUM BUY
5287,04/01/2010,AAPL,30.48999971,30.57285686,30.34000014,30.64285657,123432400,FALSE,,,,,,
5288,05/01/2010,AAPL,30.65714257,30.62571329,30.46428486,30.79857057,150476200,0.172886787,,,,,,
5289,06/01/2010,AAPL,30.62571329,30.13857071,30.10714343,30.74714286,138040000,-1.590632601,,,,,0,
5290,07/01/2010,AAPL,30.25,30.08285714,29.86428643,30.28571514,119282800,-0.184858036,,,,,0,
5291,08/01/2010,AAPL,30.04285629,30.28285786,29.865715,30.28571514,111902700,0.664832862,,,,,0,
5292,11/01/2010,AAPL,30.39999957,30.01571471,29.77857214,30.42857171,115557400,-0.88215964,,,,,0,
5293,12/01/2010,AAPL,29.884285,29.67428586,29.48857114,29.96714214,148614900,-1.137500317,,,,,0,
5294,13/01/2010,AAPL,29.695715,30.09285743,29.15714257,30.13285643,151473000,1.410553137,,,,,0,
5295,14/01/2010,AAPL,30.01571471,29.91857143,29.86000057,30.06571386,108223500,-0.579160688,,,,,0,
5296,15/01/2010,AAPL,30.13285643,29.41857143,29.40999986,30.228571,148516900,-1.671202788,30.79857057,,,,0,
5297,19/01/2010,AAPL,29.76142886,30.71999929,29.60571486,30.74142843,182501900,4.423830923,30.79857057,FALSE,FALSE,1.38729877,0,
5298,20/01/2010,AAPL,30.70142943,30.24714286,29.92857171,30.79285629,153038200,-1.539246227,30.74714286,FALSE,FALSE,1.113337635,0,
5299,21/01/2010,AAPL,30.297142,29.72428514,29.601429,30.47285657,152038600,-1.728618542,30.79285629,FALSE,FALSE,1.104007962,0,
5300,22/01/2010,AAPL,29.54000086,28.25,28.16571429,29.64285657,220441900,-4.959867439,30.79285629,FALSE,FALSE,1.584602062,0,
5301,25/01/2010,AAPL,28.93000029,29.01000029,28.59857171,29.242857,266424900,2.690266513,30.79285629,FALSE,FALSE,1.78531993,0,
5302,26/01/2010,AAPL,29.42142871,29.42000014,28.94000057,30.53000071,466777500,1.413305225,30.79285629,FALSE,FALSE,2.834397964,0,
5303,27/01/2010,AAPL,29.54999929,29.69714357,28.50428586,30.08285714,430642100,0.942023891,30.79285629,FALSE,FALSE,2.155310527,0,
5304,28/01/2010,AAPL,29.27571486,28.46999929,28.38571357,29.35714343,293375600,-4.132196341,30.79285629,FALSE,FALSE,1.286690787,0,
5305,29/01/2010,AAPL,28.72571371,27.43714329,27.17857171,28.88571357,311488100,-3.627875047,30.79285629,FALSE,FALSE,1.286088071,0,
5306,01/02/2010,AAPL,27.48142814,27.81857114,27.32857129,28,187469100,1.390187914,30.79285629,FALSE,FALSE,0.71410116,0,
5307,02/02/2010,AAPL,27.98714257,27.97999957,27.62571329,28.04571343,174585600,0.580290156,30.79285629,FALSE,FALSE,0.655302671,0,
5308,03/02/2010,AAPL,27.88142771,28.46142771,27.77428629,28.60000043,153832000,1.720615252,30.53000071,FALSE,FALSE,0.579125346,0,
5309,04/02/2010,AAPL,28.10428614,27.43571471,27.36714357,28.33857157,189413000,-3.60387051,30.53000071,FALSE,FALSE,0.712862721,0,
5310,05/02/2010,AAPL,27.51857186,27.92285729,27.264286,28,212576700,1.775578239,30.53000071,FALSE,FALSE,0.788942885,0,
5311,08/02/2010,AAPL,27.95571514,27.73142814,27.71428486,28.26857186,119567700,-0.685564332,30.53000071,FALSE,FALSE,0.445054662,0,
5312,09/02/2010,AAPL,28.05999943,28.02714343,27.82142829,28.21428486,158221700,1.066354349,30.08285714,FALSE,FALSE,0.622986939,0,
5313,10/02/2010,AAPL,27.98428529,27.87428671,27.75142857,28.08571429,92590400,-0.545388153,29.35714343,FALSE,FALSE,0.414985562,0,
5314,11/02/2010,AAPL,27.84000014,28.38142771,27.72285657,28.53571514,137586400,1.819386466,28.88571357,FALSE,FALSE,0.72677066,0,
5315,12/02/2010,AAPL,28.30142786,28.62571329,27.92857171,28.80571371,163867200,0.860723366,28.60000043,FALSE,FALSE,0.943212481,0,
5316,16/02/2010,AAPL,28.84857171,29.05714229,28.78857229,29.09857171,135934400,1.50713799,28.80571371,BUY,FALSE,0.855089401,1.50713799,1.50713799
5317,17/02/2010,AAPL,29.17000014,28.93571471,28.69428629,29.18714329,109099200,-0.417892368,29.09857171,BUY,FALSE,0.709276857,1.089245622,1.089245622
5318,18/02/2010,AAPL,28.804285,28.98999971,28.702858,29.127142,105706300,0.187605527,29.18714329,BUY,FALSE,0.717777627,1.276851149,1.276851149
5319,19/02/2010,AAPL,28.837143,28.80999943,28.72999957,29.02857214,103867400,-0.620904732,29.18714329,FALSE,SELL,0.729117631,1.276851149,
5320,22/02/2010,AAPL,28.905714,28.63142771,28.45571514,28.92857171,97640900,-0.61982549,29.18714329,FALSE,FALSE,0.729198142,1.276851149,
5321,23/02/2010,AAPL,28.57142829,28.15142829,27.95857043,28.76142886,143773700,-1.676477418,29.18714329,FALSE,FALSE,1.174543429,1.276851149,
5322,24/02/2010,AAPL,28.31857114,28.66571429,28.26285743,28.77714343,115141600,1.826855798,29.18714329,FALSE,FALSE,0.922396409,1.276851149,
5323,25/02/2010,AAPL,28.19714357,28.85714343,28.127142,28.97999957,166281500,0.667798256,29.18714329,FALSE,FALSE,1.379691879,1.276851149,
5324,26/02/2010,AAPL,28.91142843,29.23142814,28.85714343,29.30999943,126865200,1.297026197,29.18714329,BUY,FALSE,0.99198795,2.573877346,2.573877346
5325,01/03/2010,AAPL,29.39285657,29.85571486,29.35000043,29.92857171,137523400,2.135669585,29.30999943,BUY,FALSE,1.084417685,4.709546931,4.709546931
5326,02/03/2010,AAPL,29.98999971,29.83571429,29.67714314,30.11857229,141636600,-0.066990759,29.92857171,BUY,FALSE,1.140544112,4.642556172,4.642556172
5327,03/03/2010,AAPL,29.84857171,29.90428543,29.70571514,29.98142814,93013200,0.229829054,30.11857229,BUY,FALSE,0.745575398,4.872385226,4.872385226
5328,04/03/2010,AAPL,29.89714243,30.101429,29.804285,30.13142771,91510300,0.659248556,30.11857229,BUY,FALSE,0.743110275,5.531633782,5.531633782
5329,05/03/2010,AAPL,30.70571514,31.27857214,30.66142843,31.38571357,224905100,3.910588896,30.13142771,BUY,FALSE,1.847643441,9.442222678,9.442222678
